boleta,codigo_manzano,numero_hogar,municipio,distrito,barrio,otb,forma_de_residencia,tipo_de_vivienda,tenencia_de_la_vivienda,numero_miembros_en_el_hogar,persona_jefe,relacion_de_parentesco_13,jentrevistado,jefe_sexo,jefe_edad_anios,jefe_estado_civil,jefe_nivel_de_instruccion,jefe_ultimo_curso_aprobado,jefe_idioma_o_lengua_materna,jefe_departamento_de_nacimiento,jefe_provincia_de_nacimiento,jefe_municipio_de_nacimiento,jefe_localidad_de_nacimiento,jefe_pais_de_nacimiento,jefe_ciudad_de_nacimiento,jefe_departamento_de_residencia_2010,jefe_provincia_de_residencia_2010,jefe_municipio_de_residencia_2010,jefe_localidad_de_residencia_2010,jefe_pais_de_residencia_2010,jefe_ciudad_de_residencia,jefe_tiempo_de_residencia_anios,jefe_condicion_de_actividad,jefe_ocupacion_principal,jefe_categoria_ocupacional,jefe_rama_de_actividad,jefe_ocupacion_secundaria,persona,relacion_de_parentesco_40,entrevistado,sexo,edad_anios,estado_civil,p08nivel,p08curso,idioma_o_lengua_materna,departamento_de_nacimiento,provincia_de_nacimiento,municipio_de_nacimiento,localidad_de_nacimiento,pais_de_nacimiento,ciudad_de_nacimiento,departamento_de_residencia_2010,provincia_de_residencia_2010,municipio_de_residencia_2010,localidad_de_residencia_2010,pais_de_residencia_2010,ciudad_de_residencia_2010,tiempo_de_residencia_anios,condicion_de_actividad,ocupacion_principal,categoria_ocupacional,rama_de_actividad,ocupacion_secundaria,numero_de_miembros_que_trabajan,religion_de_entrevistado,identificacion_con_pueblo_originario,practica_de_q_hoa_y_challa,participacion_en_actividades_de_otb,participacion_en_organizaciones_gremiales,participacion_en_organizaciones_politicas,participacion_en_org_recreativas_y_deportivas,participacion_en_organizaciones_religiosas,participacion_en_org_culturales_o_folkloricas,percepcion_de_seguridad_del_municipio,lugar_mas_peligroso_o_inseguro,municipio_donde_se_localiza_el_lugar_inseguro,inseguridad_de_parques_plazas_plazuelas_calles_puentes,cual_parque_plaza_o_calle,inseguridad_de_mercados,cual_mercado,inseguridad_de_espacios_deportivos,cual_espacio_deportivo,inseguridad_de_lotes_baldios,dejar_de_frecuentar_por_inseguridad,tipos_de_hechos_mas_frecuentes,lugar_que_le_genera_miedo_cine,cual_cine,lugar_que_le_genera_miedo_universidades,cual_universidad,lugar_que_le_genera_miedo_disc,cual_discoteca_local,lugar_que_le_genera_miedo_tilines_cafe_internet,cual_tilin_o_cafe_internet,percepcion_sobre_seguridad_del_transporte_publico,transporte_publico_inseguro,percepcion_sobre_seguridad_del_barrio,hecho_de_inseguridad_en_el_barrio_en_los_ultimos_12_meses,tipo_de_hecho_ocurrido_100,tipo_de_hecho_ocurrido_101,existencia_el_el_barrio_de_personas_que_cometen_delito,existencia_el_el_barrio_de_inhaladores_de_clefa,existencia_el_el_barrio_de_actividades_pandilleras,nombre_de_las_pandillas,venta_de_drogas_en_el_barrio,hecho_de_violencia_en_los_ultimos_doce_meses,numero_de_veces,tipo_de_hecho,medios_utilizados_en_el_hecho_de_violencia_110,numero_de_personas_que_operaron_el_hecho,lugar_en_que_ocurrio_el_hecho_112,municipio_en_que_ocurrio_el_hecho_113,horario_en_que_ocurrio_el_hecho,acciones_realizadas_ante_el_hecho_115,institucion_a_la_que_acudion,otro_miembro_del_hogar_que_sufrio_hecho_de_violencia,parentesco_con_el_entrevistado,tipo_de_hecho_de_violencia,medios_utilizados_en_el_hecho_de_violencia_120,lugar_en_que_ocurrio_el_hecho_121,municipio_en_que_ocurrio_el_hecho_122,acciones_realizadas_ante_el_hecho_123,grupos_de_edad_de_mayor_propension_a_ser_victimas,caracteristicas_de_las_personas_que_generan_miedo,factores_que_inducen_a_cometer_delitos,institucion_responsable_de_la_seguridad_ciudadana,nivel_de_confianza_en_la_policia,nivel_de_confianza_en_el_gam,nivel_de_confianza_en_la_gobernacion,nivel_de_confianza_en_las_empresas_de_seguridad_privada,nivel_de_confianza_en_la_seguridad_vecinal_ot_bs,conocimiento_de_la_ley_integral_348,conocimiento_de_la_ley_264,conocimiento_de_la_ley_1008,conocimiento_de_la_ley_263,conocimiento_del_codigo_del_nino,conocimiento_de_la_ley_259,se_informa_por_medios_televisivos,medio_televisivo_por_el_que_se_informa,se_informa_por_medios_radiales,medio_radial_por_el_que_se_informa,se_informa_por_medios_escritos,medio_escrito_por_el_que_se_informa,se_informa_por_redes_sociales_o_internet,red_sociall_por_la_que_se_informa,principal_medio_por_el_que_se_entera_de_campanas_de_prevension,estrategias_utilizadas_para_prevenir_la_inseguridad_148,estrategias_utilizadas_para_prevenir_la_inseguridad_149,proteccion_de_la_vivienda_1,proteccion_de_la_vivienda_cerco_electrico,proteccion_de_la_vivienda_camaras_alarmas_portero_electronico,proteccion_de_la_vivienda_seguridad_privada,proteccion_de_la_vivienda_tener_perros,proteccion_de_la_vivienda_seguro_contra_robo,estrategias_para_porteger_la_vivienda,caracteristica_del_lugar_al_que_se_cambio_o_cambiaria,estrategias_uso_de_instrumentos_para_alertar_158,estrategias_uso_de_camaras_de_vigilancia,estrategias_carteles_inscripciones_en_la_pared,estrategias_munecos_colgados,estrategias_vigilancia_policial,estrategias_guardias_privados,estrategias_vigilancia_comunitaria_o_barrial,estrategias_cercar_el_barrio,estrategias_uso_de_instrumentos_para_alertar_166,estar_de_acuerdo_con_el_linchamiento,estar_de_acuerdo_con_la_pena_de_muerte,estar_de_acuerdo_con_la_castracion,estar_de_acuerdo_con_bloquear_caminos,estar_de_acuerdo_con_manifestaciones,estar_de_acuerdo_con_prohibir_ingreso_de_personas_ex,sentimiento_respecto_al_barrio,espacio_en_el_barrio_que_mas_frecuentan_los_vecinos,relacionamiento_con_los_vecinos_por_la_inseguridad
1373,TI-08,7,Tiquipaya,5,Chilimarca,Chilimarca,Vivienda independiente,Casa independiente,Propia,5.0,NA,Jefe(a) de Hogar,Entrevistado,Mujer,38.0,Casado(a),Primaria,4,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Limpieza,“Empleado”,Empresa,NA,Licia,Jefe(a) de Hogar,Entrevistado,Mujer,38.0,Casado(a),Primaria,4,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Limpieza,“Empleado”,Empresa,NA,2,Ninguna,Ninguno,Ocasionalmente,No,No,No,Si,Si,Si,Depende de la zona,NA,NA,Si,NA,No,NA,No,NA,No,No,Robo o asalto,No,NA,No,NA,Si,Por el barrio más allá,No,NA,Inseguro,Micro,No sabe,NA,NA,Homicidio,No,No,No sabe,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Los borrachos,La falta de dinero,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,Poco,Poco,No sabe o no conoce,No sabe o no conoce,No,No,No,"Algo, muy poco",No,No,Si,UNITEL,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",No,No,No,No,Si,No,No,No se cambiaría,Si,No,No,No,No,No,No,No,Si,Si,Si,Si,No,Si,No,Muy pocas personas saben quién soy,No sabe,Nunca tuve relación con los vecinos
1374,TI-08,9,Tiquipaya,5,Chilimarca,Chilimarca,Vivienda independiente,Casa independiente,Cedida por parentesco o Servicio,4.0,NA,Jefe(a) de Hogar,NA,Hombre,35.0,Casado(a),Secundaria,1,Quechua,Potosí,Rafael Bustillo,NA,NA,NA,NA,Potosí,Tomas Frias,Potosí,NA,NA,NA,NA,Tenía trabajo,Chofer,“Empleado”,Educativo,NA,July,"Esposa(o), Cónyuge o Pareja",Entrevistado,Mujer,37.0,Casado(a),Secundaria,1,Castellano,Potosí,NA,NA,NA,NA,NA,Potosí,Tomas Frias,Potosí,NA,NA,NA,NA,Labores de casa y trabajó,Cocinera,“Empleado”,Cisterna,NA,2,Católica,Quechua,Ocasionalmente,Si,Si,No,No,Si,No,Inseguro,San Antonio,Cochabamba,No,NA,Si,NA,No,NA,No,No,Agresión física,No,NA,No,NA,Si,NA,No,NA,Inseguro,Taxi,Inseguro,No,NA,NA,No,No,No,NA,No sabe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Los borrachos,Falta de empleo,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,No sabe o no conoce,No sabe o no conoce,No sabe o no conoce,Poco,No,No,"Algo, muy poco",No,"Algo, muy poco",No,Si,UNITEL,No,NA,No,NA,No,NA,Medios televisivos,Otros,"Evitar calles vacías, lotes baldíos",No,No,No,No,No,No,No,No se cambiaría,Si,Si,No,No,Si,No,No,No,No,No,Si,No,Si,Si,No,Muy pocas personas saben quién soy,Parques,Nunca tuve relación con los vecinos
1375,TI-08,12,Tiquipaya,5,Chilimarca,Chilimarca,Vivienda independiente,Casa independiente,Propia,7.0,NA,Jefe(a) de Hogar,NA,Hombre,50.0,Casado(a),Universitario,5,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Tenía trabajo,Auditoría,“Empleado”,NA,NA,Tatiana,Jefe(a) de Hogar,Entrevistado,Mujer,48.0,Casado(a),Unversitario,5,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Tenía trabajo,Psicología,“Empleado”,Educación,NA,3,Ninguna,Ninguno,No,No,No,No,Si,No,No,Depende de la zona,Chilimarca,Tiquipaya,Si,Sucre Sud,Si,Cancha,No,NA,Si,Si,Robo o asalto,No,NA,No,NA,Si,NA,No,NA,Seguro,Taxi,Inseguro,No,NA,NA,Si,No,Si,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Hijo(a),Robo o asalto,Ninguno,Chilimarka,Tiquipaya,Ninguna,Todos,"Rostro, actitud, gestos","No hay trabajo, se hicieron viciosos","1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,Ninguna,No sabe o no conoce,Ninguna,Mas o menos,"Algo, muy poco",No,"Algo, muy poco",Si,Si,Si,Si,UNITEL-RED UNO,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",Si,No,No,No,Si,No,No,No se cambiaría,Si,No,No,No,No,No,No,No,No,No,No,Si,No,Si,No,Muy pocas personas saben quién soy,No sabe,Nunca tuve relación con los vecinos
1376,TI-08,13,Tiquipaya,5,Chilimarca,Chilimarca,Vivienda independiente,Casa independiente,Propia,11.0,NA,Jefe(a) de Hogar,NA,Hombre,60.0,Casado(a),Sin instrucción,0,Castellano,Oruro,Cercado,Oruro,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Tenía trabajo,Negocio,“Cuenta propia”,Restaurant,NA,Julio,Hijo(a),Entrevistado,Hombre,35.0,Soltero(a),Unversitario,5,Castellano,Oruro,Cercado,Oruro,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Estudió y trabajó,Café internet,“Cuenta propia”,Café internet,NA,8,Ninguna,Ninguno,Ocasionalmente,No,No,No,No,No,No,Inseguro,San Martín,Cochabamba,No,NA,Si,Av. Aroma,No,NA,No,No,Robo o asalto,No,NA,No,NA,No,NA,No,NA,Inseguro,Taxi,Seguro,Si,Robo,NA,Si,No,Si,NA,No,Si,NA,Agresión física,Armas blancas,En grupo,San Martín,Cercado,23,Otra,NA,Si,Hermano(a),Robo o asalto,"Golpes, patadas, puñetes",NA,Tiquipaya,Ninguna,NA,"Sucias, aspecto de drogados, alcohólicos","Que no trabajan, el factor económico","1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,Ninguna,No sabe o no conoce,Poco,No sabe o no conoce,Si,No,Si,Si,Si,Si,No,NA,No,NA,No,NA,Si,Facebook,"Redes sociales, Internet",No salir a altas horas de la noche y/o no salir solo,"Ninguna de las anteriores, nada",Si,No,No,No,Si,No,No,Edificio de departamentos,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Muy pocas personas saben quién soy,No sabe,Nunca tuve relación con los vecinos
1377,TI-08,15,Tiquipaya,5,Chilimarca,Chilimarca,Vivienda independiente,Casa independiente,Propia,3.0,NA,Jefe(a) de Hogar,Entrevistado,Mujer,48.0,Casado(a),Primaria,5,Castellano,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Labores de casa y trabajó,Pensión,“Cuenta propia”,Comida,NA,María,Jefe(a) de Hogar,Entrevistado,Mujer,48.0,Casado(a),Primaria,5,Castellano,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Labores de casa y trabajó,Pensión,“Cuenta propia”,Comida,NA,2,Católica,Ninguno,No,No,No,No,No,No,No,Depende de la zona,Chilimarca,Cochabamba,Si,Satélite,No,NA,No,NA,No,No,Robo o asalto,No,NA,No,NA,Si,NA,No,NA,Inseguro,Taxi,Seguro,Si,Robo,NA,No,No sabe,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Los borrachos,Falta de educación de los padres,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,Mas o menos,Mas o menos,Mas o menos,Mas o menos,No,No,"Algo, muy poco",No,No,Si,Si,UNITEL,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,NA,No,No,No,No,Si,No,No,No se cambiaría,Si,No,No,Si,Si,No,Si,No,No,Si,Si,Si,Si,Si,No,Me siento identificado con mi barrio,No sabe,Mayor relacionamiento
1378,TI-08,16,Tiquipaya,5,Chilimarca,Chilimarca,Vivienda independiente,Casa independiente,Propia,8.0,NA,Jefe(a) de Hogar,Entrevistado,Mujer,40.0,Casado(a),Primaria,2,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Venta,“Cuenta propia”,Venta x menor,NA,Cristina,Jefe(a) de Hogar,Entrevistado,Mujer,40.0,Casado(a),Primaria,2,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Venta,“Cuenta propia”,Venta x menor,NA,4,Ninguna,Quechua,Ocasionalmente,Si,No,No,Si,Si,No,Depende de la zona,Barrio Chino,Cochabamba,No,NA,Si,Barrio Chino,No,NA,No,No,Robo o asalto,No,NA,No,NA,Si,Todos,No,NA,Seguro,Taxi,Inseguro,No,NA,NA,No,No sabe,No sabe,NA,No,Si,2,Agresión física,Ninguna,En grupo,San Antonio,Cercado,7,Ninguna,NA,No,NA,NA,NA,NA,NA,NA,Jóvenes,Las personas con actitud agresiva,Falta de dinero,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,No sabe o no conoce,No sabe o no conoce,Poco,Poco,No,"Algo, muy poco",No,"Algo, muy poco","Algo, muy poco",No,Si,UNITEL,No,NA,No,NA,No,NA,Medios televisivos,Otros,"Evitar calles vacías, lotes baldíos",No,No,No,No,Si,No,No,No se cambiaría,Si,No,No,No,No,No,No,No,No,Si,Si,Si,Si,Si,No,Muy pocas personas saben quién soy,No sabe,Nunca tuve relación con los vecinos
1379,TI-08,19,Tiquipaya,5,Chilimarca,Chilimarca,Vivienda independiente,Casa independiente,Propia,4.0,NA,Jefe(a) de Hogar,NA,Mujer,63.0,Soltero(a),NA,NA,Quechua,Potosí,Rafael Bustillo,Llallagua,NA,NA,NA,Cochabamba,Cercado,Catacora,NA,NA,NA,NA,Labores de casa y trabajó,Matadero de cerdas,“Empleado”,NA,NA,Alison,"Esposa(o), Cónyuge o Pareja",Entrevistado,Mujer,18.0,Soltero(a),Secundaria,4,Castellano,Cochabamba,Cercado,Catacora,NA,NA,NA,Cochabamba,Cercado,Catacora,NA,NA,NA,NA,Estudió y trabajó,Venta de discos,“Empleado”,Venta menor,NA,2,Católica,Ninguno,Ocasionalmente,Si,No,No,No,Si,No,Depende de la zona,Cruce Taquiña,Tiquipaya,No,NA,No,NA,No,NA,Si,No,Robo o asalto,No,NA,No,NA,Si,Alisos,No,NA,Inseguro,Taxi,Inseguro,Si,Secuestro,NA,No,No,No sabe,NA,Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,"Forma de vestir, hablar, mirar",Necesidad de dinero,Todas,Poco,Mas o menos,Mas o menos,Mas o menos,Ninguna,Si,Si,No,Si,Si,Si,Si,UNITEL,No,NA,No,NA,No,NA,Medios televisivos,"Portar herramientas de defensa propia (gases, u otros)",No salir a altas horas de la noche y/o no salir solo,No,No,No,No,No,No,No,No se cambiaría,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,Si,Si,Me siento identificado con mi barrio,Otros,Mayor relacionamiento
1380,TI-08,22,Tiquipaya,5,Chilimarca,Chilimarca,Vivienda independiente,Casa independiente,Propia,3.0,NA,Jefe(a) de Hogar,NA,Hombre,63.0,Casado(a),Primaria,5,Quechua,Cochabamba,Quillacollo,Quillacollo,NA,NA,NA,Cochabamba,Quillacollo,Quillacollo,NA,NA,NA,NA,Labores de casa y trabajó,Trabajar,“Cuenta propia”,NA,NA,Elizabeth,Hijo(a),Entrevistado,Mujer,26.0,Soltero(a),Unversitario,5,Quechua,Cochabamba,Quillacollo,Quillacollo,NA,NA,NA,Cochabamba,Quillacollo,Quillacollo,NA,NA,NA,NA,Estudió y labores de casa,NA,NA,NA,NA,3,Evangélica,Quechua,No,Si,No,No,No,Si,No,Depende de la zona,Villa Pagador-Zona Sud,Cochabamba,No,NA,No,NA,No,NA,Si,Si,Robo o asalto,No,NA,No,NA,Si,NA,No,NA,No sabe,Taxi,No sabe,Si,Robo,Asalto,No,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,"Rostros marcados, miradas fijas",Vienen de familias que no tienen buena relación,Todas,Mas o menos,Ninguna,Ninguna,Ninguna,Mucha,No,Si,No,Si,Si,No,Si,RED UNO,Si,FM,No,NA,No,NA,Ninguno,No tomar taxi en la calle,Contratar seguros (de vida),No,No,No,No,Si,No,No,Barrio o urbanización cerrada,Si,Si,Si,Si,Si,No,Si,No se puede,Si,No,No,No,Si,Si,Si,Me siento identificado con mi barrio,Canchas deportivas,Mayor relacionamiento
1381,TI-09,21,Tiquipaya,5,Chilimarca,Villa Satélite,Vivienda independiente,Casa independiente,Propia,5.0,NA,Jefe(a) de Hogar,Entrevistado,Hombre,45.0,Casado(a),Secundaria,6,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Tenía trabajo,Administración pública,“Empleado”,Contratos,NA,Luis,Jefe(a) de Hogar,Entrevistado,Hombre,45.0,Casado(a),Secundaria,6,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Tenía trabajo,Administración pública,“Empleado”,Contratos,NA,3,Católica,Ninguno,Si,Si,No,No,No,No,No,Inseguro,Villa Satélite,Tiquipaya,Si,Parque El Prado Max Fernández,No,NA,Si,Cancha deportiva Satélite,Si,Si,Robo o asalto,No,NA,No,NA,Si,Locales no tienen nombre,Si,Puntos de internet,Seguro,Taxi,Inseguro,Si,Robo,Violación,Si,No,Si,NA,Si,Si,1,Robo o asalto,Armas blancas,En grupo,Villa Satélite-C. Los Rosales,Tiquipaya,9,Acudir a alguna institución o  centro de salud,OTBs,No,NA,NA,NA,NA,NA,NA,Adultos mayores,Grupos extraños,"Mal ejemplo, sin valores","2.	Gobierno Municipal (SLIMs, Defensorías)",Ninguna,Ninguna,Ninguna,Poco,Mucha,No,No,No,No,No,No,Si,UNITEL,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",Si,No,No,No,Si,No,No,No se cambiaría,Si,No,Si,Si,Si,No,No,No se puede,No,Si,Si,Si,Si,Si,Si,Me siento identificado con mi barrio,Canchas deportivas,Mayor relacionamiento
1382,TI-09,4,Tiquipaya,5,Chilimarca,Villa Satélite,Vivienda independiente,Habitaciones sueltas,Cedida por parentesco o Servicio,6.0,NA,Jefe(a) de Hogar,Entrevistado,Hombre,34.0,Casado(a),Secundaria,2,Castellano,Beni,José Ballivián,Santa Rosa,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Tenía trabajo,Confección,“Cuenta propia”,Ropa,NA,Gabino,Jefe(a) de Hogar,Entrevistado,Hombre,34.0,Casado(a),Secundaria,2,Castellano,Beni,José Ballivián,Santa Rosa,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Tenía trabajo,Confección,“Cuenta propia”,Ropa,NA,2,Evangélica,Ninguno,No,No,No,No,Si,No,No,Inseguro,Cancha del barrio,Tiquipaya,No,NA,No,NA,Si,Canchita por la noche,Si,No,Agresión física,No,NA,No,NA,Si,Chichería del barrio,Si,En el barrio,Inseguro,Taxi-trufi,Inseguro,Si,Peleas callejeras,NA,Si,No sabe,Si,Sentimientos de calle,Si,Si,1,Otro,Ninguna,En grupo,Frente a la puerta de su casa,Tiquipaya,21,Ninguna,Otra,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Desconocidos y andan en grupos con actitud sospechosa,"Libertinaje, ausencia de los padres, falta de control",Todas,Mas o menos,Mas o menos,Poco,Ninguna,Bastante,"Algo, muy poco",No,No,Si,No,"Algo, muy poco",Si,RED UNO-UNITEL,No,NA,No,NA,No,NA,Medios televisivos,"Ninguna de las anteriores, nada",NA,Si,No,No,No,Si,No,No,Barrio o urbanización cerrada,Si,No,Si,Si,Si,No,Si,No se puede,Si,Cuando es necesario,No,No,Si,Si,Si,Mis opiniones son bien recibidas,Calles,Mayor relacionamiento
1383,TI-09,20,Tiquipaya,5,Chilimarca,Villa Satélite,Vivienda independiente,Casa independiente,Propia,5.0,NA,Jefe(a) de Hogar,NA,Hombre,55.0,Casado(a),Secundaria,1,Castellano,La Paz,Murillo,La Paz,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Tenía trabajo,Lijado de puertas,“Jornalero”,Carpintería,NA,Alejandro,Hijo(a),Entrevistado,Hombre,18.0,Soltero(a),Secundaria,6,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Sólo estudió,NA,NA,NA,NA,3,Católica,Ninguno,Si,No,No,No,Si,No,No,Inseguro,La Cancha,Cochabamba,Si,Parque Máx Fernández,No,NA,No,NA,Si,No,Robo o asalto,No,NA,No,NA,No,NA,Si,Tilin Sirex,Seguro,Taxi,Seguro,No,NA,NA,No,No,Si,3/18,Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Grupos de personas,Mal educados,Gobernación,Ninguna,Ninguna,Ninguna,Ninguna,Mas o menos,No,No,No,No,No,No,Si,UNITEL,No,NA,No,NA,No,NA,Medios televisivos,Comprar armas,Otros,No,No,No,No,No,No,No,No se cambiaría,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Me siento identificado con mi barrio,Canchas deportivas,Mayor relacionamiento
1384,TI-09,13,Tiquipaya,5,Chilimarca,Villa Satélite,Vivienda independiente,Casa independiente,Propia,3.0,NA,Jefe(a) de Hogar,NA,Hombre,45.0,Casado(a),Primaria,6,Quechua,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Carrasco,Chimoré,NA,NA,NA,NA,Realizó alguna actividad por ingreso,Albañil,“Cuenta propia”,Construcción,NA,Dennis,Hijo(a),Entrevistado,Hombre,18.0,Soltero(a),Primaria,5,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Quillacollo,Tiquipaya,NA,NA,NA,NA,Sólo estudió,NA,NA,NA,NA,2,Católica,Ninguno,No,Si,No,No,No,No,No,Inseguro,El Prado,Cochabamba,Si,El Prado,No,NA,No,NA,Si,No,Agresión física,Si,El Capitol,Si,En Tiquipaya,Si,Esquina sin nombre,No,NA,Seguro,Taxi,Inseguro,No,NA,NA,Si,No,Si,"3/18, paisank'illos, poison y chía",Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,En pandillas,Pobreza,Todas,Ninguna,Poco,Poco,Ninguna,Ninguna,No,No,No,No,No,No,Si,UNITEL,No,NA,No,NA,No,NA,Medios radiales,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",No,No,No,No,Si,No,No,No se cambiaría,No,No,No,Si,No,No,No,No,No,Si,Si,Si,Si,Si,Si,Me siento identificado con mi barrio,Canchas deportivas,Mayor aislamiento con los vecinos
1385,TI-09,2,Tiquipaya,5,Chilimarca,Villa Satélite,Vivienda independiente,Casa independiente,Alquilada,6.0,NA,Jefe(a) de Hogar,NA,Hombre,35.0,Casado(a),Secundaria,5,Castellano,La Paz,Murillo,La Paz,NA,NA,NA,Cochabamba,Murillo,La Paz,NA,NA,NA,NA,Tenía trabajo,Albañil,“Cuenta propia”,Construcción,NA,Jorge,Hijo(a),Entrevistado,Hombre,18.0,Soltero(a),Secundaria,6,Castellano,La Paz,Murillo,La Paz,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Estudió y trabajó,Emp. Taquiña,“Empleado”,Cerveza,NA,3,Evangélica,Ninguno,Si,Si,Si,Si,Si,Si,Si,Inseguro,Zona de las aguas potables,Tiquipaya,No,NA,Si,Mercadito de Chilimarca,No,NA,Si,No,Robo o asalto,No,NA,No,NA,Si,Locales de la zona,No,NA,Inseguro,Taxi,Seguro,No,NA,NA,Si,No,Si,Los sentimientos de calles,No sabe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Su forma de caminar si está mal entrazado,Necesidades-Falta de razón,"2.	Gobierno Municipal (SLIMs, Defensorías)",Poco,Poco,Ninguna,Bastante,Mucha,No,Si,Si,Si,Si,Si,Si,UNITEL,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,NA,No,No,No,No,Si,No,No,Barrio o urbanización cerrada,Si,No,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Mis opiniones son bien recibidas,"Plazas, plazuelas",Nunca tuve relación con los vecinos
